TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
LUTA DE CLASSES;;E1900447500000;;OUTROS;;5;;28;;5,9;;1244;;1;;0;;M;;11M
LUTA DE CLASSES;;E1900447500000;;OUTROS;;27;;1400;;5,9;;1244;;1;;0;;M;;11M
LUTA PELA FÉ A HISTÓRIA DO PADRE STU;;E2200057000000;;ESTADOS UNIDOS;;26;;13947;;6,5;;30197;;0;;1;;F;;01F
LUTA POR JUSTIÇA;;E1900587300000;;ESTADOS UNIDOS;;95;;112018;;7,6;;75447;;1;;0;;M;;30M
LUTANDO COM A FÉ;;E1500743300000;;ESTADOS UNIDOS;;85;;566199;;6,4;;16036;;1;;0;;M;;20M
LUZ NOS TRÓPICOS;;B2000313600000;;BRASIL;;19;;382;;7,4;;53;;0;;1;;F;;01F
M3GAN;;E2200415600000;;ESTADOS UNIDOS;;62;;1763025;;6,3;;141277;;1;;0;;M;;20M
M8;;B1900447800000;;BRASIL;;61;;8991;;7;;768;;1;;0;;M;;52M
MA;;E1900162000000;;ESTADOS UNIDOS;;21;;35384;;5,6;;59490;;1;;0;;M;;10M
MÁ SORTE NO SEXO OU PORNÔ ACIDENTAL;;E2200173600000;;OUTROS;;84;;9535;;6,5;;10426;;1;;0;;M;;10M
MACBETH: AMBIÇÃO E GUERRA;;E1500846400000;;OUTROS;;44;;56719;;6,6;;59432;;1;;0;;M;;40M
MACBETH: AMBIÇÃO E GUERRA;;E1500846400000;;OUTROS;;44;;56719;;0;;0;;1;;0;;M;;10M
MAD MAX;;E1500283300000;;ESTADOS UNIDOS;;4;;816;;6,8;;221473;;1;;0;;M;;21M
MAD MAX 2 - A CAÇADA CONTINUA;;E1500283400000;;ESTADOS UNIDOS;;2;;536;;7,6;;192989;;1;;0;;M;;13F
MADAME;;E1700587400000;;OUTROS;;96;;41403;;6,1;;8568;;0;;1;;F;;11M
MADAME SATÃ;;B0300008800000;;BRASIL;;3;;32;;7;;3144;;1;;0;;M;;40M
MADAME TEIA;;E2300503800000;;ESTADOS UNIDOS;;16;;977330;;3,8;;49407;;1;;0;;M;;90M
MADE IN ITALY;;E1900018200000;;OUTROS;;64;;4873;;5,8;;1342;;1;;0;;M;;10M
MADRE;;E2100461000000;;OUTROS;;62;;546;;6,6;;2326;;1;;0;;M;;11M
MADRES PARALELAS;;E2200016400000;;OUTROS;;61;;26164;;7,1;;35618;;1;;0;;M;;10M
MÃE!;;E1700401100000;;ESTADOS UNIDOS;;89;;520008;;6,6;;248944;;1;;0;;M;;10M
MAESTRO;;E2300424800000;;ESTADOS UNIDOS;;41;;10872;;6,5;;59414;;1;;0;;M;;20M
MAFIA MAMMA – DE REPENTE CRIMINOSA;;E2300074000000;;OUTROS;;36;;19934;;5,4;;10445;;0;;1;;F;;21M
MAGAL E OS FORMIGAS;;B1600442200000;;BRASIL;;19;;849;;6;;66;;1;;1;;M;;30M
MAGIA AO LUAR;;E1402627700000;;ESTADOS UNIDOS;;124;;240696;;6,5;;70771;;1;;0;;M;;10M
MAGIC MIKE XXL;;E1500367600000;;ESTADOS UNIDOS;;40;;202323;;5,6;;61243;;0;;1;;F;;01F
MAGNATAS DO CRIME;;E2000005600000;;ESTADOS UNIDOS;;78;;22423;;7,8;;394626;;1;;0;;M;;31M
MAIOR QUE O MUNDO;;B2100161600000;;BRASIL;;17;;564;;5,8;;25;;1;;0;;M;;00M
MAIS DO QUE EU POSSA ME RECONHECER;;B1500315500000;;BRASIL;;20;;215;;6,2;;22;;1;;0;;M;;20M
MAIS FORTE QUE BOMBAS;;E1600086900000;;OUTROS;;103;;9216;;6,6;;14179;;1;;0;;M;;11M
MAIS FORTE QUE O MUNDO - A HISTÓRIA DE JOSÉ ALDO;;B1600294500000;;BRASIL;;126;;565769;;7,1;;2107;;1;;0;;M;;40M
MAIS QUE AMIGOS;;E2200284200000;;ESTADOS UNIDOS;;39;;18213;;6,4;;34883;;0;;1;;F;;11M
MAIS QUE ESPECIAIS;;E2000313400000;;OUTROS;;25;;529;;7,4;;11101;;1;;1;;M;;11M
MAIS UM ANO;;E1600079200000;;OUTROS;;112;;9983;;7,4;;30832;;1;;0;;M;;10M
MAL NOSSO;;B1700170200000;;BRASIL;;28;;2349;;5,6;;734;;1;;0;;M;;10M
MAL VIVER;;E2300387400000;;OUTROS;;21;;517;;6,7;;520;;1;;0;;M;;10M
MALALA;;E1500814300000;;ESTADOS UNIDOS;;57;;15157;;7;;4781;;0;;1;;F;;01F
MALASARTES E O DUELO COM A MORTE;;B1700347600000;;BRASIL;;59;;114382;;6,1;;360;;1;;0;;M;;10M
MALÉVOLA;;E1500120000000;;ESTADOS UNIDOS;;195;;5797553;;6,9;;399384;;0;;1;;F;;54M
MALÉVOLA: DONA DO MAL;;E1900358800000;;ESTADOS UNIDOS;;113;;5798248;;6,6;;118399;;1;;0;;M;;75M
MALIGNO;;E2100329900000;;ESTADOS UNIDOS;;35;;254340;;6,2;;108646;;1;;0;;M;;21M
MAMA CORONEL;;E1900447600000;;OUTROS;;16;;190;;7,1;;82;;1;;0;;M;;00M
MAMAMOO: MY CON THE MOVIE;;E2300311100000;;OUTROS;;2;;1075;;8,1;;198;;1;;0;;M;;00M
MAMMA MIA! LÁ VAMOS NÓS DE NOVO;;E1800169700000;;ESTADOS UNIDOS;;83;;801045;;6,6;;108461;;1;;0;;M;;32M
MAMMA ROMA;;E1500751500000;;OUTROS;;42;;2466;;7,8;;10436;;1;;0;;M;;10M
MAMMA ROMA;;E1500751500000;;OUTROS;;1;;26;;7,8;;10436;;1;;0;;M;;10M
MAMONAS ASSASSINAS O FILME;;B2300531200000;;BRASIL;;63;;877935;;5,2;;790;;0;;1;;F;;01F
MANCHESTER À BEIRA-MAR;;E1600573600000;;ESTADOS UNIDOS;;98;;105867;;7,8;;312309;;1;;0;;M;;10M
MANGUEIRA EM 2 TEMPOS;;B2000375600000;;BRASIL;;51;;2102;;0;;0;;0;;1;;F;;01F
MANK;;E2000458900000;;ESTADOS UNIDOS;;42;;1101;;6,8;;82550;;1;;0;;M;;10M
MANSÃO MAL-ASSOMBRADA;;E2300260900000;;ESTADOS UNIDOS;;37;;115585;;6;;42330;;1;;0;;M;;01F
MAPAS PARA AS ESTRELAS;;E1402302900000;;OUTROS;;80;;41435;;6,2;;42802;;1;;0;;M;;10M
MÁQUINA MORTÍFERA;;E1600054900000;;ESTADOS UNIDOS;;2;;3;;7,6;;275692;;1;;0;;M;;20M
MÁQUINAS MORTAIS;;E1800532500000;;ESTADOS UNIDOS;;59;;331324;;6,1;;139538;;0;;1;;F;;22M
MAR DE DENTRO;;B2100445800000;;BRASIL;;23;;768;;7,2;;38;;0;;1;;F;;02F
MAR INQUIETO;;B1700172800000;;BRASIL;;20;;188;;6,6;;24;;1;;0;;M;;20M
MARAVILHOSO BOCCACCIO;;E1500800600000;;OUTROS;;55;;7481;;5,8;;990;;0;;2;;F;;12F
MARCAS DA ÁGUA;;E1500065500000;;OUTROS;;58;;4303;;6,9;;1029;;1;;1;;M;;01F
MARCHA CEGA;;B1800260300000;;BRASIL;;54;;900;;8,5;;19;;1;;0;;M;;10M
MARCIA HAYDÉE;;B1800505900000;;BRASIL;;21;;1420;;0;;0;;1;;0;;M;;01F
MARCOS MEDEIROS - CODINOME VAMPIRO;;B1700000300000;;BRASIL;;14;;117;;6,7;;11;;0;;1;;F;;01F
MARES DO DESTERRO;;B2000142400000;;BRASIL;;10;;135;;0;;0;;1;;0;;M;;10M
MARGINAL;;B1600624200000;;BRASIL;;14;;85;;7,3;;9;;0;;4;;F;;00M
MARGUERITE;;E1600312100000;;OUTROS;;88;;35037;;6,9;;5666;;1;;0;;M;;11M
MARGUERITE & JULIEN - UM AMOR PROIBIDO;;E1700011000000;;OUTROS;;51;;2088;;5,1;;1103;;0;;1;;F;;31M
MARIA - NÃO ESQUEÇA QUE EU VENHO DOS TRÓPICOS;;B1700248200000;;BRASIL;;42;;1005;;7,6;;32;;1;;1;;M;;12F
MARIA - NINGUÉM SABE QUEM SOU EU;;B2200258900000;;BRASIL;;91;;20464;;6,5;;20;;1;;0;;M;;10M
MARIA CALLAS - EM SUAS PRÓPRIAS PALAVRAS;;E1800492800000;;OUTROS;;62;;3986;;7,2;;2114;;1;;0;;M;;00M
MARIA CALLAS - EM SUAS PRÓPRIAS PALAVRAS;;E1800492800000;;OUTROS;;37;;15140;;7,2;;2114;;1;;0;;M;;00M
MARIA DO CARITÓ;;B1900075800000;;BRASIL;;49;;40922;;6,2;;95;;1;;0;;M;;31M
MARIA LUIZA;;B1900112300000;;BRASIL;;18;;177;;8,1;;16;;2;;0;;M;;20M
MARIA MADALENA;;E1800053400000;;OUTROS;;80;;201281;;5,9;;11496;;1;;0;;M;;02F
MARINA;;E1600607500000;;OUTROS;;50;;12796;;7,2;;3786;;1;;0;;M;;20M
MARINHEIRO DAS MONTANHAS;;B2300247400000;;BRASIL;;39;;2640;;7,2;;523;;1;;0;;M;;30M
MARTE UM;;B2000312900000;;BRASIL;;213;;103961;;7,4;;2082;;1;;0;;M;;10M
MARTIN EDEN;;E1900594700000;;OUTROS;;24;;6110;;7;;7606;;1;;0;;M;;30M
MARTYRS;;E1600097400000;;ESTADOS UNIDOS;;21;;43783;;4;;6884;;2;;0;;M;;20M
MATAR A LA BESTIA;;B2100266400000;;OUTROS;;20;;747;;5,1;;299;;0;;1;;F;;01F
MATARAM MEU IRMÃO;;B1301835500000;;BRASIL;;30;;210;;6,8;;63;;1;;0;;M;;10M
MATEÍNA;;B2100119800000;;BRASIL;;44;;884;;6,4;;49;;2;;0;;M;;10M
MATE-ME POR FAVOR;;B1500651700000;;OUTROS;;60;;9873;;5,8;;749;;0;;1;;F;;01F
MATO SECO EM CHAMAS;;B2000076800000;;BRASIL;;46;;2270;;6,8;;272;;1;;1;;M;;11M
MATRIX;;E1500096600000;;OUTROS;;32;;34892;;8,7;;2045810;;0;;2;;F;;02F
MATRIX;;E1500096600000;;OUTROS;;14;;486;;8,7;;2045810;;0;;2;;F;;02F
MATRIX RESURRECTIONS;;E2100503500000;;ESTADOS UNIDOS;;67;;1043019;;5,7;;278244;;0;;1;;F;;22M
MAX STEEL;;E1600683100000;;ESTADOS UNIDOS;;35;;51367;;4,6;;20532;;0;;1;;F;;10M
MAYA;;E1900267000000;;OUTROS;;40;;3366;;6,1;;685;;0;;1;;F;;01F
MAZE RUNNER CORRER OU MORRER;;E1402596300000;;ESTADOS UNIDOS;;98;;1565790;;6,8;;506477;;1;;0;;M;;40M
MAZE RUNNER: A CURA MORTAL;;E1800020400000;;ESTADOS UNIDOS;;64;;1443217;;6,2;;161499;;1;;0;;M;;20M
ME CHAMA QUE EU VOU;;B2200393900000;;BRASIL;;33;;1424;;6,9;;34;;0;;1;;F;;11M
ME CHAME PELO SEU NOME;;E1700458100000;;BRASIL;;106;;174028;;7,8;;313841;;0;;1;;F;;11M
ME TIRA DA MIRA;;B2200049700000;;BRASIL;;24;;36375;;4,1;;113;;0;;1;;F;;82M
MEDIDA PROVISÓRIA;;B2100259000000;;BRASIL;;170;;471639;;6,6;;2402;;1;;1;;M;;40M
MEDITATION PARK;;E1900091500000;;OUTROS;;22;;4442;;7,1;;580;;0;;1;;F;;01F
MEDO PROFUNDO;;E1800059700000;;ESTADOS UNIDOS;;21;;52716;;5,6;;60782;;1;;0;;M;;11M
MEDO PROFUNDO - O SEGUNDO ATAQUE;;E1900302700000;;OUTROS;;39;;154056;;5;;30684;;1;;0;;M;;11M
MEDO VIRAL;;E1700506500000;;ESTADOS UNIDOS;;14;;3421;;4,2;;3601;;2;;0;;M;;20M
MEDOS PRIVADOS EM LUGARES PUBLICOS;;E1600557500000;;OUTROS;;11;;336;;7;;4143;;0;;1;;F;;20M
MEDUSA DELUXE;;E2300167000000;;OUTROS;;56;;3032;;6,1;;1842;;1;;0;;M;;10M
MEGATUBARÃO;;E1800214800000;;ESTADOS UNIDOS;;71;;1879369;;5,7;;206898;;1;;0;;M;;22M
MEIA HORA E AS MANCHETES QUE VIRAM MANCHETE;;B1402475600000;;BRASIL;;38;;981;;7;;26;;4;;0;;M;;00M
MELANCOLIA;;E1402417400000;;OUTROS;;14;;95;;7,1;;195370;;1;;0;;M;;10M
MELHORES AMIGOS;;E1600646400000;;ESTADOS UNIDOS;;53;;6351;;6,7;;7807;;1;;0;;M;;20M
MEMORIA;;E2200238500000;;OUTROS;;50;;6328;;6,5;;11087;;4;;0;;M;;40M
MEMORIA;;E2200238500000;;OUTROS;;50;;6328;;0;;0;;1;;0;;M;;10M
MEMÓRIA EM VERDE E ROSA;;B1700031200000;;BRASIL;;20;;408;;8,1;;18;;1;;0;;M;;02F
MEMÓRIA SUFOCADA;;B2300028000000;;BRASIL;;41;;1598;;7,3;;15;;1;;0;;M;;10M
MEMÓRIAS DE SALINGER;;E1500806400000;;ESTADOS UNIDOS;;7;;847;;6,7;;2684;;1;;0;;M;;00M
MEMÓRIAS SECRETAS;;E1600105900000;;OUTROS;;35;;51917;;7,5;;27754;;1;;0;;M;;10M
MEN - FACES DO MEDO;;E2200257100000;;OUTROS;;33;;17916;;6,1;;61045;;1;;0;;M;;10M
MENINOS DA VILA - A MAGIA DO SANTOS;;B1402261200000;;BRASIL;;3;;35;;0;;0;;0;;1;;F;;02F
MENINOS DE KICHUTE;;B1001288800000;;BRASIL;;92;;2536;;7,2;;114;;1;;0;;M;;20M
MENOS QUE NADA;;B1201616800000;;BRASIL;;3;;39;;6,3;;129;;1;;0;;M;;31M
MENTE CRIMINOSA;;E1600231500000;;ESTADOS UNIDOS;;28;;59948;;6,3;;70476;;1;;0;;M;;20M
MENTES EXTRAORDINÁRIAS;;E2200134700000;;OUTROS;;39;;2552;;7;;1511;;2;;0;;M;;41M
MENTES SOMBRIAS;;E1800252900000;;ESTADOS UNIDOS;;28;;176557;;5,7;;36011;;0;;1;;F;;11M
MERCURIALES;;E1600465800000;;OUTROS;;9;;164;;6,1;;414;;1;;0;;M;;11M
MERCURIALES;;E1600465800000;;OUTROS;;21;;1186;;6,1;;414;;1;;0;;M;;11M
MERGULHO NOTURNO;;E2300468000000;;ESTADOS UNIDOS;;32;;203898;;4,7;;13976;;1;;0;;M;;20M
MESMO SE NADA DER CERTO;;E1500045200000;;ESTADOS UNIDOS;;106;;120430;;7,4;;166578;;1;;0;;M;;10M
MESMO SE NADA DER CERTO;;E1500045200000;;ESTADOS UNIDOS;;106;;120430;;7,1;;66;;2;;0;;M;;11M
MEU ÁLBUM DE AMORES;;B2100262100000;;BRASIL;;34;;887;;6,7;;37;;1;;0;;M;;21M
MEU AMIGO ENZO;;E1900248800000;;ESTADOS UNIDOS;;74;;198956;;7,6;;37916;;1;;0;;M;;11M
MEU AMIGO HINDU;;B1600033400000;;BRASIL;;61;;24098;;5,8;;591;;1;;0;;M;;20M
MEU AMIGO ROBÔ;;E2300551500000;;OUTROS;;50;;5352;;7,6;;7627;;1;;0;;M;;20M
MEU AMIGO VAMPIRO;;E1700626500000;;OUTROS;;70;;119554;;5,5;;1960;;1;;1;;M;;31M
MEU AMOR POR GRACE;;E1900340500000;;ESTADOS UNIDOS;;16;;244;;6,1;;1768;;1;;0;;M;;21M
MEU CORPO É POLÍTICO;;B1700050700000;;BRASIL;;39;;2271;;6,1;;107;;0;;4;;F;;04F
MEU EX É UM ESPIÃO;;E1800318300000;;ESTADOS UNIDOS;;21;;155502;;6;;82909;;0;;1;;F;;11M
MEU FILHO É UM CRAQUE;;E2200353800000;;OUTROS;;24;;499;;6,2;;427;;0;;1;;F;;12F
MEU MALVADO FAVORITO;;E1402519900000;;ESTADOS UNIDOS;;6;;1233;;7,6;;582737;;2;;0;;M;;30M
MEU MALVADO FAVORITO 2;;E1402520000000;;ESTADOS UNIDOS;;67;;9523;;7,3;;424973;;2;;0;;M;;20M
MEU MALVADO FAVORITO 3;;E1500759400000;;ESTADOS UNIDOS;;254;;8953662;;6,2;;153457;;3;;0;;M;;20M
MEU NOME É DANIEL;;B1800517200000;;BRASIL;;24;;1429;;7,2;;21;;1;;0;;M;;21M
MEU NOME É GAL;;B2300212900000;;BRASIL;;107;;167817;;6,4;;466;;0;;2;;F;;22M
MEU NOME É JACQUE;;B1600200900000;;BRASIL;;16;;515;;8,5;;30;;0;;1;;F;;01F
MEU NOME É SARA;;E1900592400000;;ESTADOS UNIDOS;;35;;9049;;6,7;;817;;1;;0;;M;;01F
MEU NOVO BRINQUEDO;;E2300389200000;;OUTROS;;11;;1877;;5,9;;1273;;0;;1;;F;;23F
MEU PAI É UM PERIGO;;E2300125700000;;ESTADOS UNIDOS;;57;;13021;;5,7;;12907;;0;;1;;F;;20M
MEU PASSADO ME CONDENA 2;;B1500437700000;;BRASIL;;161;;2661034;;5,6;;1125;;0;;1;;F;;21M
MEU PASSADO ME CONDENA O FILME;;B1301940300000;;BRASIL;;51;;4069;;5,8;;2481;;0;;1;;F;;32M
MEU PÉ DE LARANJA LIMA;;B1301743100000;;BRASIL;;37;;1478;;7,1;;1455;;1;;0;;M;;21M
MEU QUERIDO ELFO;;E2000041800000;;OUTROS;;6;;71;;5,6;;380;;0;;1;;F;;21M
MEU QUERIDO ELFO;;E2000041800000;;OUTROS;;18;;659;;5,6;;380;;0;;1;;F;;21M
MEU QUERIDO FILHO;;E1800547800000;;OUTROS;;57;;7850;;6,5;;469;;1;;0;;M;;10M
MEU QUERIDO FILHO;;E1800547800000;;OUTROS;;4;;105;;6,5;;469;;1;;0;;M;;10M
MEU QUERIDO SUPERMERCADO;;B2000227100000;;BRASIL;;8;;22;;7,5;;49;;1;;0;;M;;00M
MEU REI;;E1600457100000;;OUTROS;;2;;25;;7,1;;14142;;0;;1;;F;;11M
MEU REI;;E1600457100000;;OUTROS;;105;;25342;;7,1;;14142;;0;;1;;F;;11M
MEU TRICOLOR DE AÇO;;B1800505200000;;BRASIL;;29;;9603;;7,7;;15;;2;;0;;M;;10M
MEU VIZINHO ADOLF;;E2200498300000;;OUTROS;;92;;12896;;6,5;;1316;;0;;1;;F;;02F
MEUS 15 ANOS;;B1700231000000;;BRASIL;;101;;742368;;5,1;;370;;0;;1;;F;;24F
MEUS DOIS AMORES;;B1201696600000;;BRASIL;;49;;22909;;5,6;;55;;0;;1;;F;;10M
MI IUBITA, MEU AMOR;;E2200291300000;;OUTROS;;21;;388;;5,9;;292;;0;;1;;F;;11M
MIA MADRE;;E1500753000000;;OUTROS;;67;;17986;;6,8;;7744;;1;;0;;M;;32M
MICHAEL KOHLHAAS - JUSTIÇA E HONRA;;E1402435900000;;OUTROS;;126;;3976;;6,1;;9183;;1;;0;;M;;21M
MICHELLE E OBAMA;;E1600661500000;;ESTADOS UNIDOS;;27;;9597;;6,3;;10123;;1;;0;;M;;10M
MIDSOMMAR;;E1900227200000;;ESTADOS UNIDOS;;55;;66576;;7,1;;400242;;0;;1;;F;;01F
MIDWAY - BATALHA EM ALTO MAR;;E1900304100000;;OUTROS;;16;;136807;;6,7;;94115;;1;;0;;M;;10M
MIGLIACCIO, O BRASILEIRO EM CENA;;B2100113300000;;BRASIL;;18;;88;;0;;0;;1;;0;;M;;10M
MILAGRE;;B1900040000000;;BRASIL;;15;;1189;;4;;185;;9;;0;;M;;90M
MILHÃO DE MANEIRAS DE PEGAR NA PISTOLA, UM;;E1402596200000;;ESTADOS UNIDOS;;28;;24024;;6,1;;198176;;1;;0;;M;;30M
MILITARY WIVES;;E1900268400000;;OUTROS;;24;;292;;6,5;;5931;;1;;0;;M;;11M
MIMOSAS;;E1700228600000;;OUTROS;;34;;441;;6,2;;973;;1;;0;;M;;20M
MINARI EM BUSCA DA FELICIDADE;;E2100028400000;;ESTADOS UNIDOS;;25;;7402;;7,4;;96451;;1;;0;;M;;10M
MINAS DO FUTEBOL;;B1800563600000;;BRASIL;;8;;41;;8,1;;7;;1;;0;;M;;00M
MINHA AMIGA DO PARQUE;;E1700606200000;;OUTROS;;54;;2053;;6,3;;349;;0;;1;;F;;02F
MINHA FAMA DE MAU;;B1700600100000;;BRASIL;;45;;110857;;6,4;;481;;1;;0;;M;;31M
MINHA FAMILIA PERFEITA;;B2000277900000;;BRASIL;;23;;29995;;5,1;;21;;1;;0;;M;;20M
MINHA IRMÃ;;E1500842300000;;OUTROS;;148;;1911;;7;;7200;;0;;1;;F;;12F
MINHA IRMÃ DE PARIS;;E1900509700000;;OUTROS;;29;;2753;;5,6;;345;;0;;1;;F;;01F
MINHA IRMÃ DE PARIS;;E1900509700000;;OUTROS;;6;;1947;;5,6;;345;;0;;1;;F;;01F
MINHA IRMÃ E EU;;B2300519200000;;BRASIL;;67;;2287514;;5,9;;577;;0;;1;;F;;55M
MINHA MÃE É UMA PEÇA;;B1301808100000;;BRASIL;;42;;3482;;6,8;;5790;;1;;0;;M;;30M
MINHA MÃE É UMA PEÇA 2;;B1600716500000;;BRASIL;;127;;9238567;;6,6;;3266;;0;;1;;F;;30M
MINHA MÃE É UMA PEÇA 3;;B1900576900000;;BRASIL;;184;;10936882;;7,1;;2780;;0;;1;;F;;44M
MINHA OBRA-PRIMA;;E1900065700000;;OUTROS;;76;;16890;;7,1;;7271;;1;;0;;M;;20M
MINHA QUERIDA DAMA;;E1500376900000;;OUTROS;;120;;50930;;6,4;;10005;;1;;0;;M;;10M
MINHA VIDA DE ABOBRINHA;;E1700007700000;;OUTROS;;39;;2185;;7,8;;29012;;1;;0;;M;;52M
MINHA VIDA EM MARTE;;B1800539000000;;BRASIL;;105;;5234820;;6,4;;1629;;0;;1;;F;;33M
MINHOCAS;;B1301864200000;;BRASIL;;79;;48058;;8,4;;20;;1;;0;;M;;10M
MINIONS;;E1500311600000;;ESTADOS UNIDOS;;227;;8917679;;6,4;;258815;;2;;0;;M;;10M
MINIONS 2: A ORIGEM DE GRU;;E2200126100000;;ESTADOS UNIDOS;;253;;6978921;;6,5;;84769;;3;;0;;M;;20M
MINUTOS ATRÁS;;B1302041800000;;BRASIL;;44;;926;;6,9;;45;;1;;0;;M;;10M
MIRACLES FROM HEAVEN;;E1500735000000;;ESTADOS UNIDOS;;49;;189704;;7,1;;28283;;0;;1;;F;;11M
MIRANTE;;B1800610400000;;BRASIL;;45;;543;;6,9;;11;;0;;1;;F;;01F
MISS FRANÇA;;E2200150700000;;OUTROS;;44;;2151;;6,4;;952;;1;;0;;M;;12F
MISS JULIE;;E1500198500000;;OUTROS;;49;;13500;;5,5;;6140;;0;;1;;F;;02F
MISS VIOLENCE;;E1500844700000;;OUTROS;;114;;11476;;7,1;;9853;;1;;0;;M;;20M
MISSÃO 115;;B1800300700000;;BRASIL;;50;;1467;;7,5;;16;;1;;0;;M;;20M
MISSÃO ANTENA: UMA AVENTURA INTERGALÁCTICA;;E2300386000000;;OUTROS;;29;;5280;;5,5;;144;;0;;1;;F;;22M
MISSÃO CUPIDO;;B1900189100000;;BRASIL;;14;;1183;;5,4;;64;;1;;0;;M;;30M
MISSÃO DE SOBREVIVÊNCIA;;E2300085500000;;ESTADOS UNIDOS;;14;;55159;;6,1;;32843;;1;;0;;M;;10M
MISSÃO RESGATE;;E2100275800000;;ESTADOS UNIDOS;;35;;88078;;5,6;;47452;;0;;1;;F;;01F
MISSÃO: IMPOSSÍVEL - ACERTO DE CONTAS PARTE UM;;E2300206700000;;ESTADOS UNIDOS;;106;;1907476;;7,7;;243350;;1;;0;;M;;30M
MISSÃO: IMPOSSÍVEL - EFEITO FALLOUT;;E1800243500000;;ESTADOS UNIDOS;;96;;2548997;;7,7;;377131;;1;;0;;M;;20M
MISSÃO: IMPOSSÍVEL - NAÇÃO SECRETA;;E1500406500000;;ESTADOS UNIDOS;;149;;2714259;;7,4;;410001;;1;;0;;M;;30M
MISTRESS AMERICA;;E1500741300000;;ESTADOS UNIDOS;;53;;18184;;6,7;;28705;;1;;0;;M;;11M
MIÚDA E O GUARDA-CHUVA;;B2000360900000;;BRASIL;;1;;8;;7,9;;43;;1;;0;;M;;10M
MOACIR;;B1700465300000;;OUTROS;;37;;375;;7,4;;19;;1;;0;;M;;10M
MOANA - UM MAR DE AVENTURAS;;E1600655200000;;ESTADOS UNIDOS;;185;;5115752;;7,6;;376293;;4;;0;;M;;71M
MOGLI - O MENINO LOBO;;E1600127500000;;ESTADOS UNIDOS;;137;;2674669;;7,4;;291575;;1;;0;;M;;11M
MOMMY;;E1402385800000;;OUTROS;;84;;21399;;8;;61646;;1;;0;;M;;10M
MONEYBOYS;;E2400007000000;;OUTROS;;22;;1237;;6,4;;1159;;0;;1;;F;;01F
MONICA;;E2300244500000;;ESTADOS UNIDOS;;6;;19;;6,3;;1297;;0;;1;;F;;11M
MONOS;;E2000382300000;;OUTROS;;8;;29;;6,8;;18867;;1;;0;;M;;11M
MONSTER;;E2300421600000;;OUTROS;;91;;52924;;7,9;;19426;;0;;1;;F;;01F
MONSTER HUNTER;;E2000403800000;;ESTADOS UNIDOS;;90;;193990;;5,2;;67831;;1;;0;;M;;20M
MONSTER HUNTER;;E2000403800000;;ESTADOS UNIDOS;;90;;193990;;0;;0;;1;;0;;M;;21M
MONSTER TRUCKS;;E1700002000000;;ESTADOS UNIDOS;;51;;341936;;5,7;;18845;;1;;0;;M;;40M
MOONAGE DAYDREAM;;E2200287400000;;OUTROS;;82;;24150;;7,6;;14319;;1;;0;;M;;10M
MOONFALL;;E2100554100000;;OUTROS;;34;;482381;;5,1;;98882;;1;;0;;M;;21M
MOONLIGHT - SOB A LUZ DO LUAR;;E1600788800000;;ESTADOS UNIDOS;;77;;340109;;7,4;;330862;;1;;0;;M;;20M
MORMAÇO;;B1800204300000;;BRASIL;;58;;2959;;6,4;;141;;0;;4;;F;;44M
MORRO DO CÉU;;B1201546800000;;BRASIL;;12;;168;;7,2;;11;;0;;1;;F;;01F
MORRO DOS PRAZERES;;B1301873000000;;BRASIL;;56;;921;;6,5;;90;;0;;1;;F;;00M
MORTAL KOMBAT;;E2100066600000;;ESTADOS UNIDOS;;63;;426251;;6;;189520;;1;;0;;M;;41M
MORTE A PINOCHET;;E2300004400000;;OUTROS;;18;;456;;5,7;;138;;1;;0;;M;;21M
MORTE MORTE MORTE;;E2200286900000;;ESTADOS UNIDOS;;32;;107446;;6,2;;66679;;0;;1;;F;;11M
MOSTRA-ME O PAI;;E2100432600000;;ESTADOS UNIDOS;;22;;14093;;6,8;;529;;1;;0;;M;;10M
MOTORRAD;;B1700614000000;;BRASIL;;19;;10493;;4,6;;376;;1;;0;;M;;31M
MUCH LOVED;;E1600386800000;;OUTROS;;2;;78;;6,2;;3037;;1;;0;;M;;10M
MUCH LOVED;;E1600386800000;;OUTROS;;40;;3891;;6,2;;3037;;1;;0;;M;;10M
MUDBOUND - LÁGRIMAS SOBRE O MISSISSIPI;;E1700588300000;;ESTADOS UNIDOS;;13;;11975;;7,4;;54220;;0;;1;;F;;21M
MUITA CALMA NESSA HORA 2;;B1302050600000;;BRASIL;;72;;1426828;;4,9;;418;;1;;0;;M;;20M
MUITO ROMÂNTICO;;B1600300000000;;BRASIL;;22;;1332;;5,9;;62;;1;;1;;M;;11M
MULANS;;E1402787800000;;ESTADOS UNIDOS;;4;;2127;;7,7;;315379;;2;;0;;M;;147M
MULHER;;E2000047400000;;OUTROS;;15;;513;;7,9;;924;;1;;1;;M;;11M
MULHER;;E2000047400000;;OUTROS;;15;;513;;0;;0;;0;;1;;F;;01F
MULHER DO PAI;;B1600420900000;;BRASIL;;89;;6857;;6,6;;163;;0;;1;;F;;02F
MULHER OCEANO;;B1900397300000;;BRASIL;;30;;203;;6,6;;71;;0;;1;;F;;02F
