TITULO;;CPB_ROE;;PAIS_OBRA;;QTD_DIAS_EXIBICAO;;QTD_PUBLICO;;NOTA;;VOTOS;;QTD_DIRETOR_M;;QTD_DIRETOR_F;;DIRETOR_GENERO;;QTD_ROTERISTA_MQTD_ROTERISTA_FROTERISTA_GENERO
A CRÔNICA FRANCESA;;E2100432700000;;ESTADOS UNIDOS;;84;;30750;;7,1;;149948;;1;;0;;M;;40M
A CULPA É DAS ESTRELAS;;E1402308800000;;ESTADOS UNIDOS;;120;;6373166;;7,7;;400326;;1;;0;;M;;30M
A CURA;;E1600766700000;;ESTADOS UNIDOS;;26;;106046;;6,4;;109270;;0;;1;;F;;11M
A DAMA DE FERRO;;E1500616300000;;OUTROS;;7;;80;;6,4;;113506;;0;;1;;F;;01F
A DAMA DOURADA;;E1500302100000;;ESTADOS UNIDOS;;52;;94767;;7,3;;63037;;1;;0;;M;;21M
A DAMA E O VAGABUNDO;;E1600456900000;;ESTADOS UNIDOS;;4;;1956;;7,3;;148043;;2;;2;;M;;102M
A DANÇARINA E O LADRÃO;;E1500575500000;;OUTROS;;65;;1411;;6,1;;1437;;0;;1;;F;;12F
A DESTRUIÇÃO DE BERNARDET;;B1600680500000;;BRASIL;;23;;1355;;6,5;;17;;1;;1;;M;;02F
A DOCE VIDA;;E1402804500000;;OUTROS;;2;;32;;8;;78025;;1;;0;;M;;50M
A DOCE VIDA;;E1402804500000;;OUTROS;;72;;3933;;8;;78025;;1;;0;;M;;50M
A DONA DO BARATO;;E2100362600000;;OUTROS;;66;;8035;;6,3;;3544;;1;;0;;M;;21M
A ENTIDADE 2;;E1500399600000;;ESTADOS UNIDOS;;43;;574233;;5,3;;60415;;1;;0;;M;;20M
A ENTREVISTA;;E1402626800000;;ESTADOS UNIDOS;;27;;116670;;6,5;;353834;;2;;0;;M;;30M
A ERA DE OURO;;E2300057600000;;ESTADOS UNIDOS;;21;;9002;;5,9;;1612;;1;;0;;M;;10M
A ERA DO GELO 4;;E1500228600000;;ESTADOS UNIDOS;;25;;1118;;6,5;;224289;;1;;1;;M;;21M
A ERA DO GELO: O BIG BANG;;E1600182700000;;ESTADOS UNIDOS;;136;;5264063;;5,7;;74575;;1;;1;;M;;31M
A ERA DOS HUMANOS;;B2300302500000;;BRASIL;;2;;10;;0;;0;;1;;0;;M;;10M
A ESCOLHA;;E1600009500000;;ESTADOS UNIDOS;;15;;69066;;6,5;;45676;;0;;1;;F;;20M
A ESCOLHA PERFEITA 2;;E1500311500000;;ESTADOS UNIDOS;;43;;123023;;6,4;;170051;;0;;1;;F;;11M
A ESPERA;;E1600346400000;;OUTROS;;68;;14569;;6,5;;2575;;0;;1;;F;;32M
A ESPERA DE LIZ;;B2000294200000;;BRASIL;;15;;56;;7,4;;26;;1;;0;;M;;11M
A ESPERANÇA É A ÚLTIMA QUE MORRE;;B1500554400000;;BRASIL;;70;;108191;;4,7;;132;;1;;0;;M;;21M
A ESPIÃ QUE SABIA DE MENOS;;E1500234500000;;ESTADOS UNIDOS;;129;;411443;;7;;258329;;1;;0;;M;;10M
A ESPIÃ VERMELHA;;E1900122900000;;OUTROS;;83;;35593;;6,4;;14377;;1;;0;;M;;11M
A ESPOSA;;E1800428100000;;ESTADOS UNIDOS;;89;;170609;;7,2;;42836;;0;;1;;F;;02F
A ESTRADA 47;;B1402125800000;;BRASIL;;102;;33610;;6,2;;923;;1;;0;;M;;10M
A ESTRANHA COMÉDIA DA VIDA;;E2300436900000;;OUTROS;;22;;943;;6,8;;1610;;1;;0;;M;;30M
A ESTRELA DE BELÉM;;E1700366100000;;ESTADOS UNIDOS;;52;;483835;;6,3;;9353;;1;;0;;M;;20M
A EXCÊNTRICA FAMÍLIA DE GASPARD;;E1800499300000;;OUTROS;;31;;2476;;6,1;;800;;1;;0;;M;;12F
A EXCÊNTRICA FAMÍLIA DE GASPARD;;E1800499300000;;OUTROS;;5;;39;;6,1;;800;;1;;0;;M;;12F
A FAMÍLIA ADDAMS;;E1900349600000;;OUTROS;;69;;1622401;;5,8;;44766;;1;;1;;M;;31M
A FAMÍLIA ADDAMS;;E1900349600000;;OUTROS;;57;;5566;;5,8;;44766;;1;;1;;M;;31M
A FAMÍLIA ADDAMS 2: PÉ NA ESTRADA;;E2100404800000;;ESTADOS UNIDOS;;69;;703649;;5,4;;15522;;3;;1;;M;;41M
A FAMÍLIA DIONTI;;B1500334900000;;BRASIL;;86;;3333;;7,5;;62;;0;;1;;F;;01F
A FAMÍLIA SUBMERSA;;B1800358900000;;BRASIL;;40;;2538;;6,1;;423;;0;;1;;F;;01F
A FANTÁSTICA FÁBRICA DE CHOCOLATE;;E1402797500000;;ESTADOS UNIDOS;;3;;64;;7,8;;226479;;0;;1;;F;;11M
A FARRA DO CIRCO;;B1302020900000;;BRASIL;;35;;947;;6,6;;81;;2;;0;;M;;00M
A FARSA;;E2200415500000;;OUTROS;;30;;6955;;6,4;;3162;;1;;0;;M;;10M
A FAVORITA;;E1800490300000;;ESTADOS UNIDOS;;73;;254709;;7,5;;231780;;0;;1;;F;;11M
A FEBRE;;B1900486200000;;OUTROS;;28;;529;;6,8;;724;;0;;4;;F;;84M
A FELICIDADE DAS COISAS;;B2200146400000;;BRASIL;;45;;1455;;7;;125;;0;;1;;F;;01F
A FELICIDADE NÃO SE COMPRA;;E1600227700000;;ESTADOS UNIDOS;;3;;2873;;8,6;;498044;;1;;0;;M;;33M
A FERA;;E2200239400000;;ESTADOS UNIDOS;;55;;259050;;5,6;;40297;;0;;1;;F;;11M
A FERA;;E2200239400000;;ESTADOS UNIDOS;;55;;259050;;5,2;;36285;;1;;0;;M;;10M
A FERA NA SELVA;;B1900415900000;;BRASIL;;42;;3119;;6,5;;34;;2;;1;;M;;31M
A FESTA;;E1800243800000;;OUTROS;;143;;47225;;6,5;;20901;;0;;1;;F;;11M
A FESTA DE DESPEDIDA;;E1500622700000;;OUTROS;;62;;7633;;7;;2239;;0;;2;;F;;02F
A FILHA;;E1700165900000;;OUTROS;;72;;7086;;6,6;;5498;;1;;0;;M;;11M
A FILHA DO MEU MELHOR AMIGO;;E1500100400000;;ESTADOS UNIDOS;;9;;84;;5,8;;13511;;1;;0;;M;;20M
A FILOSOFIA NA ALCOVA;;B1700505300000;;BRASIL;;113;;2691;;6,2;;62;;2;;0;;M;;31M
A FINADA MÃE DA MADAME;;B1600630700000;;BRASIL;;14;;461;;6,6;;17;;1;;0;;M;;30M
A FITA AZUL;;E1500706900000;;ESTADOS UNIDOS;;48;;1267;;6,7;;6149;;0;;1;;F;;01F
A FLORESTA DE JONATHAS;;B1301846600000;;BRASIL;;81;;800;;5,8;;120;;1;;0;;M;;10M
A FLORESTA QUE SE MOVE;;B1500591500000;;BRASIL;;21;;8402;;5,9;;237;;1;;0;;M;;11M
A FONTE DAS MULHERES;;E1500600100000;;OUTROS;;28;;418;;7,2;;4161;;1;;0;;M;;21M
A FORÇA DO DESTINO;;E1402546800000;;ESTADOS UNIDOS;;3;;794;;7,1;;62280;;1;;0;;M;;10M
A FORMA DA ÁGUA;;E1700442300000;;ESTADOS UNIDOS;;98;;863384;;7,3;;446696;;0;;1;;F;;02F
A FRATURA;;E2200130900000;;OUTROS;;50;;4128;;6,6;;1525;;0;;1;;F;;03F
A FRENTE FRIA QUE A CHUVA TRAZ;;B1600109600000;;BRASIL;;35;;1695;;5,2;;282;;1;;0;;M;;30M
A GAROTA DE FOGO;;E1500922300000;;OUTROS;;84;;4519;;7,2;;7468;;1;;0;;M;;10M
A GAROTA DINAMARQUESA;;E1500729100000;;OUTROS;;97;;386915;;7,1;;198953;;0;;1;;F;;11M
A GAROTA DO ARMÁRIO;;E1700430900000;;OUTROS;;77;;6745;;6,5;;266;;1;;0;;M;;11M
A GAROTA DO LIVRO;;E1600316100000;;ESTADOS UNIDOS;;28;;16896;;6,1;;4681;;0;;1;;F;;01F
A GAROTA NA NÉVOA;;E1800412500000;;OUTROS;;31;;3929;;6,8;;12973;;1;;0;;M;;10M
A GAROTA NA NÉVOA;;E1800412500000;;OUTROS;;18;;215;;6,8;;12973;;1;;0;;M;;10M
A GAROTA NO TREM;;E1600501000000;;ESTADOS UNIDOS;;62;;685047;;6,5;;198986;;1;;0;;M;;11M
A GAROTA OCIDENTAL – ENTRE O CORAÇÃO E A TRADIÇÃO;;E1700224600000;;OUTROS;;94;;14508;;7,1;;1688;;1;;0;;M;;10M
A GENTE;;B1402263600000;;BRASIL;;33;;563;;6,5;;38;;0;;1;;F;;01F
A GLÓRIA E A GRAÇA;;B1600585400000;;BRASIL;;43;;5686;;6,4;;139;;0;;1;;F;;20M
A GRANDE  DAMA  DO CINEMA;;E1900220700000;;OUTROS;;78;;24992;;7,2;;3671;;1;;0;;M;;31M
A GRANDE APOSTA;;E1500835100000;;ESTADOS UNIDOS;;98;;511665;;7,8;;482436;;1;;0;;M;;30M
A GRANDE BELEZA;;E1500298300000;;OUTROS;;257;;151075;;7,7;;97183;;0;;1;;F;;11M
A GRANDE JOGADA;;E1700496900000;;ESTADOS UNIDOS;;7;;75815;;7,4;;186764;;1;;0;;M;;11M
A GRANDE MURALHA;;E1500758300000;;ESTADOS UNIDOS;;64;;1703223;;6,7;;60;;1;;0;;M;;01F
A GRANDE MURALHA;;E1500758300000;;ESTADOS UNIDOS;;64;;1703223;;5,9;;145779;;1;;0;;M;;51M
A GRANDE NOITE;;E1402552800000;;OUTROS;;126;;2865;;5,9;;2085;;2;;0;;M;;00M
A GRANDE VITORIA;;B1402149200000;;BRASIL;;70;;26550;;5,7;;177;;2;;0;;M;;40M
A GUERRA DOS BOTÕES;;E1500668800000;;OUTROS;;21;;57;;6,4;;2166;;1;;0;;M;;20M
A GUERRA DOS SEXOS;;E1700458400000;;ESTADOS UNIDOS;;38;;17144;;6,7;;59780;;1;;1;;M;;10M
A GUERRA DOS VIZINHOS;;B1001236800000;;BRASIL;;15;;106;;6,5;;17;;1;;0;;M;;10M
A HISTORIA DA ETERNIDADE;;B1402133800000;;BRASIL;;98;;14420;;8;;548;;1;;0;;M;;10M
A HISTÓRIA DO HOMEM HENRY SOBEL;;B1402217800000;;BRASIL;;52;;1187;;0;;0;;0;;1;;F;;01F
A HISTÓRIA SEM FIM;;E1402805300000;;OUTROS;;10;;6839;;7,3;;156443;;1;;0;;M;;40M
A HORA DA SUA MORTE;;E1900400200000;;OUTROS;;26;;123246;;5,4;;45253;;1;;0;;M;;10M
A HORA E A VEZ DE AUGUSTO MATRAGA;;B1201643000000;;BRASIL;;21;;2132;;7,1;;170;;1;;0;;M;;12F
A ILHA DA FANTASIA;;E1900579500000;;ESTADOS UNIDOS;;103;;149488;;4,9;;57812;;1;;0;;M;;22M
A ILHA DE BERGMAN;;E2200041200000;;OUTROS;;62;;4817;;6,7;;9819;;0;;1;;F;;01F
A ILHA DO MILHARAL;;E1500742700000;;OUTROS;;77;;3341;;7,5;;4643;;1;;0;;M;;30M
A ILHA DOS ILÚS;;B2200405700000;;BRASIL;;34;;1411;;7,5;;20;;0;;1;;F;;01F
A IMAGEM DA TOLERÂNCIA;;B1800033200000;;BRASIL;;41;;671;;7;;9;;0;;2;;F;;11M
A IMAGEM QUE FALTA;;E1600119100000;;OUTROS;;54;;2823;;7,3;;3499;;1;;0;;M;;20M
A INCRIVEL HISTORIA DE ADALINE;;E1500133800000;;ESTADOS UNIDOS;;40;;185864;;7,2;;202240;;1;;0;;M;;20M
A INCRÍVEL JORNADA DE JACQUELINE;;E1600350200000;;OUTROS;;49;;9801;;6,7;;2781;;1;;0;;M;;30M
A INTROMETIDA;;E1600337500000;;ESTADOS UNIDOS;;73;;24695;;6,3;;13976;;0;;1;;F;;01F
A JANGADA DE WELLES;;B1900093000000;;BRASIL;;48;;1014;;7;;46;;2;;0;;M;;20M
A JAULA;;B2100498100000;;BRASIL;;28;;22967;;6,2;;448;;4;;0;;M;;120M
A JORNADA;;E2000004800000;;OUTROS;;25;;1684;;6,3;;8952;;0;;1;;F;;11M
A JOVEM RAINHA;;E1700035100000;;OUTROS;;108;;8506;;5,9;;4459;;0;;1;;F;;11M
A JUÍZA;;E1900097800000;;ESTADOS UNIDOS;;42;;6287;;7,6;;15037;;0;;2;;F;;00M
A JUSTICEIRA;;E1800329100000;;ESTADOS UNIDOS;;7;;87722;;6,5;;70582;;1;;0;;M;;10M
A JUVENTUDE;;E1600170600000;;OUTROS;;2;;108;;7,3;;82857;;0;;1;;F;;01F
A JUVENTUDE;;E1600170600000;;OUTROS;;114;;46835;;7,3;;82857;;0;;1;;F;;01F
A LEI DA ÁGUA (NOVO CÓDIGO FLORESTAL);;B1402730900000;;BRASIL;;18;;1611;;8,7;;60;;0;;1;;F;;01F
A LEI DA NOITE;;E1600770100000;;ESTADOS UNIDOS;;14;;42225;;6,4;;59747;;1;;0;;M;;20M
